,title,url,year,status
492,Jean Paul – Sämtliche Briefe ... digital,https://www.jeanpaul-edition.de/start.html,2018,200
493,Jean Paul Portal,http://www.jean-paul-portal.uni-wuerzburg.de/startseite/,2012,200
494,Les manuscrits arabes des lettres de Paul de Tarse,https://web.archive.org/web/20190904032200/http://wp.unil.ch:80/nt-arabe/edition-electronique/,2016,200
495,"Digital Paxton: Digital Collection, Critical Edition, and Teaching Platform",http://digitalpaxton.org/,2016,200
496,"Richard Brinsley Peake: Presumption; or, The Fate of Frankenstein (1823)",https://romantic-circles.org/editions/peake/,2001,200
497,Codice Pelavicino. Edizione Digitale.,http://pelavicino.labcd.unipi.it/,2014,"HTTPConnectionPool(host='pelavicino.labcd.unipi.it', port=80): Read timed out. (read timeout=10)"
498,Glossae in Persium - Die Persius-Glossen der sogenannten Tradition B,http://www.persius.mueze.lmu.de/ghtm/gfr.htm,2010,200
499,LdoD Archive: Collaborative Digital Archive of the Book of Disquiet,https://ldod.uc.pt,2017,200
500,Digital Edition of Fernando Pessoa. Projects and Publications,http://www.pessoadigital.pt,2017,200
501,"Petrarchive - An edition of Petrarch’s songbook, Rerum vulgarium fragmenta. Bloomington (IN): Indiana University, 2013.",http://dcl.slis.indiana.edu/petrarchive/,2013,200
502,The *Liber pharetrae* Project,http://web.wlu.ca/history/cnighman/LP/index.html,2014,200
503,Progetto Pico / Pico Project,http://www.brown.edu/Departments/Italian_Studies/pico/,2003,200
504,Piers Plowman Electronic Archive,http://jefferson.village.virginia.edu/seenet/piers/,2000,200
505,The Papers of Eliza Lucas Pinckney and Harriott Pinckney Horry,http://rotunda.upress.virginia.edu/PinckneyHorry/,2012,200
506,The Papers of the Revolutionary Era Pinckney Statesmen Digital Edition,https://rotunda.upress.virginia.edu/founders/PNKY.html,2016,200
507,Pioneer Lives,https://web.archive.org/web/20190925233050/http://digital.lib.uiowa.edu:80/pioneers/,2014,200
508,The Planctus for William Longsword,http://vlib.iue.it/carrie/documents/planctus/planctus/index.html,1999,200
509,Petrus Plaoul - Editio Critica Commentarii in libris Sententiarum,https://scta.info/resource/peter-plaoul,2011,200
510,Kommentierte Online-Edition der fünf Reisetagebücher Hans Posses (1939 -1942),https://editionhansposse.gnm.de,2018,200
511,Presidential Recordings Digital Edition,https://prde.upress.virginia.edu,2014,200
512,Das virtuelle Preußische Urkundenbuch,http://www.spaetmittelalter.uni-hamburg.de/Urkundenbuch/,1999,200
513,St Gall Priscian glosses,http://www.stgallpriscian.ie/,2010,200
514,Thoughts in Prison by William Dodd,https://romantic-circles.org/editions/prison/index.html,2010,200
515,Probstuecke digital,http://probstuecke-digital.de,2019,200
516,Lateinisch-mittelniederdeutscher Psalter mit Kommentar Cod. Guelf. 81.10 Aug. 2°,http://diglib.hab.de/mss/81-10-aug-2f/start.htm,2015,200
517,Der Deutsche Ptolemaeus - Eine digitale Edition,http://echo.mpiwg-berlin.mpg.de/MPIWG:X3Y43643,2008,200
518,"Queste del saint Graal. Manuscrit Lyon, Bibliothèque municipale, P.A. 77",https://web.archive.org/web/20121028151551/http://txm.risc.cnrs.fr/txm/,2010,200
519,Thomas Raddall Electronic Archive Project,http://findingaids.library.dal.ca/thomas-head-raddall-fonds,2001,200
520,Kuno Raeber Lyrik - Historisch-Kritische Online-Edition,https://kunoraeber.ch/lyrik/,2017,200
521,Giovanni Battista Ramusio: Dei viaggi di Messer Marco Polo,http://edizionicafoscari.unive.it/it/edizioni/libri/978-88-6969-00-06/giovanni-battista-ramusio/,2015,200
522,"Edition des rapports du Militärbefehlshaber Frankreich et des Synthèses des rapports des préfets, 1940-1944 / Edition der Lageberichte des Militärbefehlshabers Frankreich und der Synthesen der Berichte der französischen Präfekten, 1940-1944",http://www.ihtp.cnrs.fr/prefets/,2006,404
523,Reading in the Alps. Private book ownership in the Catholically dominated Central Alps 1750–1800.,https://rita.acdh.oeaw.ac.at,2017,200
524,Sammlung Schweizerischer Rechtsquellen online (Portal XML/TEI),https://www.ssrq-sds-fds.ch/online/tei/,2018,200
525,Registers van de Hollandse grafelijkheid 1299-1345,http://www.historici.nl/Onderzoek/Projecten/RegistersVanDeHollandseGrafelijkheid1299-1345/index_html,2014,403
526,"Registres del'Academie, Juin 1746-Aout 1786",http://akademieregistres.bbaw.de/index.html,2012,200
527,Akten der Reichskanzlei. Weimarer Republik,http://www.bundesarchiv.de/aktenreichskanzlei/1919-1933/0000/index.html,2007,200
528,"Relationen vom russischen Hof - Berichte europäischer Diplomaten, 1690-1730",https://quellen.perspectivia.net/de/russische_relationen/start,2016,200
529,Les relations littéraires entre la France et la Hongrie au XXe siècle,http://frhu20.iti.btk.mta.hu,2016,200
530,Religiöse Friedenswahrung und Friedensstiftung in Europa (1500-1800): Digitale Quellenedition frühneuzeitlicher Religionsfrieden,http://tueditions.ulb.tu-darmstadt.de/e000001/,2018,404
531,Protokoll des Religionskolloquiums in Vilnius am 14. Juni 1585,http://diglib.hab.de/edoc/ed000004/start.htm,2006,200
532,Digitale Edition der Briefe Erdmuthe Benignas von Reuß-Ebersdorf (1670-1732),http://erdmuthe.thulb.uni-jena.de,2017,200
533,The Richard Rufus of Cornwall Project,http://rrp.stanford.edu,2013,200
534,Ulrich Richental - Die Chronik des Konzils von Konstanz,https://edition.mgh.de/001/html/,2019,200
535,Rijmkroniek van Holland (366-1305),http://www.historici.nl/Onderzoek/Projecten/Rijmkroniek,2004,403
536,Rimay János ifjúkori versgyűjteménye,https://regi.tankonyvtar.hu/hu/tartalom/tkt/rimay-janos-ifjukori/adatok.html,2007,"HTTPSConnectionPool(host='regi.tankonyvtar.hu', port=443): Max retries exceeded with url: /hu/tartalom/tkt/rimay-janos-ifjukori/adatok.html (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3f7e67a8f0>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
537,"Mary Darby Robinson. A Letter to the Women of England, on the Injustice of Mental Subordination (1799)",https://romantic-circles.org/editions/robinson/index.html,1998,200
538,Briefe von und an Alexander Rollett 1852-1903,http://gams.uni-graz.at/context:rollett,2008,200
539,Roman de la Rose - Digital Surrogates of Medieval Manuscripts,https://web.archive.org/web/20080820101548/http://rose.mse.jhu.edu/pages/main_frameset.htm,1998,200
540,Roman Inscriptions of Britain,https://romaninscriptionsofbritain.org,2014,200
541,The Model Edition Partnership: The Eleanor Roosevelt Papers,https://web.archive.org/web/20160603021404/https://www.gwu.edu/%7Eerpapers/,2006,200
542,The Letters of Christina Rossetti,http://rotunda.upress.virginia.edu/crossetti/,2006,200
543,The Complete Writings and Pictures of Dante Gabriel Rossetti - A Hypermedia Archive,http://jefferson.village.virginia.edu/rossetti,2000,404
544,Rostocker Urgichten des 16. Jahrhunderts in Fällen von Zauberei und Hexerei. Digitale Methoden und Lehrkonzepte auf der Testbank,https://opendata.uni-halle.de/handle/1981185920/13873,2019,200
545,Une nouvelle édition du *Rotulus de denariis*,https://journals.openedition.org/tabularia/2569?lang=en,2007,200
546,"Quellen und Dokumente zu Leben, Werk und literarischen Bezügen des Malers, Unternehmers und Diplomaten Peter Paul Rubens (1577-1640)",http://diglib.hab.de/edoc/ed000083/startx.htm,2011,200
547,The Collected Letters of Bertrand Russell: An Electronic Edition,http://www.humanities.mcmaster.ca/~russell/brletters.htm,2006,200
548,Die Heidelberger Bilderhandschrift des Sachsenspiegels,https://web.archive.org/web/20070609201827/http://www.winter-verlag-hd.de/programm/ucw/Rechtswissenschaft/body_rechtswissenschaft.html,2003,200
549,Sachsenspiegel Online,http://www.sachsenspiegel-online.de/cms/,2004,200
550,Édition électronique des chartes de l’abbaye de Saint-Denis,http://saint-denis.enc.sorbonne.fr/,2010,200
551,Restauration de l'église Saint-Germain-des-Prés,http://elec.enc.sorbonne.fr/saintgermaindespres/,2015,200
552,Le sanctoral du lectionnaire de l'office dominicain (1254-1256),http://elec.enc.sorbonne.fr/sanctoral/,2008,200
553,"Joachim von Sandrart: Teutsche Academie der Bau-, Bild- und Mahlerey-Künste, Nürnberg 1675/1679/1680",http://ta.sandrart.net/de/,2008,200
554,The Model Edition Partnership: Margaret Sanger and *The Woman Rebel*,http://modeleditions.blackmesatech.com/mep/MS/docs/ms-table.html,1999,200
555,"The Speeches and Articles of Margaret Sanger, 1911-1959: A Digital Edition",http://sangerpapers.org/documents/aboutedition.php,2015,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
556,Edizione digitale dei documenti dell'abbazia di S. Maria della Grotta di Vitulano (BN). 1200-1250,https://www.monasterium.net/mom/SMG1200-1250/collection,2018,200
557,Sappho’s Poems,http://inamidst.com/stuff/sappho/,2008,200
558,Briefwechsel Sauer - Seuffert,http://sauer-seuffert.onb.ac.at,2015,200
559,Die Schatullrechnungen Friedrichs des Großen,https://quellen.perspectivia.net/de/schatullrechnungen/start,2011,200
560,Schenker Documents Online,http://www.schenkerdocumentsonline.org/index.html,2010,"HTTPSConnectionPool(host='schenkerdocumentsonline.org', port=443): Max retries exceeded with url: /index.html (Caused by SSLError(SSLError(1, '[SSL: WRONG_SIGNATURE_TYPE] wrong signature type (_ssl.c:997)')))"
561,Georg Wilhelm Schimper. In Abyssinia. Observations on Tigre.,http://exist.ghil.ac.uk:8079/Schimper/index.html,2015,200
562,Digitale Edition der Korrespondenz August Wilhelm Schlegels,http://august-wilhelm-schlegel.de/,2014,200
563,"schleiermacher digital: Briefwechsel, Tageskalender, Vorlesungen von Friedrich Schleiermacher 1808–1834",https://schleiermacher-digital.de,2020,200
564,Arthur Schnitzler - Digitale historisch-kritische Edition (Werke 1905 bis 1931),https://www.arthur-schnitzler.de/,2018,200
565,Arthur Schnitzler: Briefwechsel mit Autorinnen und Autoren. Digitale Edition,https://schnitzler-briefe.acdh.oeaw.ac.at/,2020,200
566,"""Fräulein Else"" multimedial - Arthur Schnitzlers Novelle und ihre Adaptionen (1923-2013)",http://www.else.uni-wuppertal.de/index.html,2017,200
567,Arthur Schnitzler: Tagebuch. Digitale Edition.,https://schnitzler-tagebuch.acdh.oeaw.ac.at/pages/index.html,2019,404
568,Schopenhauer's Library *Annotations and marks in his Spanish books*,http://schopenhauer.uni.wroc.pl,2017,200
569,The Olive Schreiner Letters Online,https://www.oliveschreiner.org,2012,"HTTPSConnectionPool(host='www.oliveschreiner.org', port=443): Read timed out. (read timeout=10)"
570,Hugo Schuchardt Archiv - Korrespondenz,http://schuchardt.uni-graz.at/korrespondenz/einleitung,2004,200
571,The revised Dred Scott Case Collection,http://digital.wustl.edu/d/dre/index.html,2007,200
572,Madelaine et Georges de Scudéry: Artamène ou le Grand Cyrus,http://www.artamene.org/,2002,200
573,Secrets of Craft and Nature in Renaissance France. A Digital Critical Edition and English Translation of BnF Ms. Fr. 640,https://edition640.makingandknowing.org/#/,2020,200
574,Mitteldeutsche Selbstzeugnisse der Zeit des Dreißigjährigen Krieges,http://www.mdsz.thulb.uni-jena.de/sz/index.php,2008,200
575,Selbstzeugnisse der Frühen Neuzeit in der Herzog August Bibliothek. Digitale Edition des Diariums von Herzog August dem Jüngeren.,http://selbstzeugnisse.hab.de/edition/,2015,"(""Connection broken: InvalidChunkLength(got length b'', 0 bytes read)"", InvalidChunkLength(got length b'', 0 bytes read))"
576,Johann Christian Senckenberg (1707–1772): Digitale Edition der Tagebücher,http://senckenberg.ub.uni-frankfurt.de,2010,200
577,Sermones.net: Édition électronique d'un corpus de sermons latins médiévaux,http://www.sermones.net,2011,200
578,Johannes Serranus' Dictionarium Latinogermanicum,http://diglib.hab.de/edoc/ed000215/start.htm,2015,200
579,The Arden Shakespeare CD-ROM,http://purl.oclc.org/emls/04-2/rev_siem.html,1997,200
580,The (New) Internet Shakespeare Editions,http://internetshakespeare.uvic.ca/index.html,1996,200
581,The Shakespeare Quartos Archive,https://wayback.archive-it.org/org-467/20191016094633/http://quartos.org/,2004,200
582,The Shelley-Godwin Archive,http://shelleygodwinarchive.org/,2013,200
583,Mary Shelley: The Last Man (1826),https://romantic-circles.org/editions/mws/lastman/index.html,1997,200
584,Percy Bysshe Shelley. On the Medusa of Leonardo da Vinci in the Florentine Gallery (1819),https://romantic-circles.org/editions/shelley/medusa/index.html,1997,200
585,Mary Shelley. The Mortal Immortal (1833),https://romantic-circles.org/editions/mws/immortal/index.html,1997,200
586,Percy Bysshe Shelley. The Devil's Walk (1812),https://romantic-circles.org/editions/shelley/devil/index.html,1997,200
587,Journal of Emily Shore: Revised and Expanded,https://rotunda.upress.virginia.edu/EmilyShore/make-page.xqy,2006,200
588,The Sibley Watson Digital Archive,https://dslab.lib.rochester.edu/esw/,2018,200
589,siddham - The South Asia Inscriptions Database,http://siddham.uk/,2017,200
590,Urkundenbuch zur Geschichte der Deutschen in Siebenbürgen,http://siebenbuergenurkundenbuch.uni-trier.de/,2012,200
591,Codex Sinaiticus,http://codexsinaiticus.org/en/,2007,200
592,Scholarly Digital Editions of Slovenian Literature,http://nl.ijs.si/e-zrc/index-en.html,2004,200
593,The Works of Charlotte Smith - An Electronic Edition,https://cdrhsites.unl.edu/ctsmithsite,2006,200
594,Songs of the Victorians,http://www.songsofthevictorians.com/,2012,500
595,The Collected Letters of Robert Southey - Part One (1791-1797),https://romantic-circles.org/editions/southey_letters/Part_One/index.html,2009,200
596,The Collected Letters of Robert Southey - Part Two (1798-1803),https://romantic-circles.org/editions/southey_letters/Part_Two/index.html,2011,200
597,The Collected Letters of Robert Southey - Part Three (1804-1809),https://romantic-circles.org/editions/southey_letters/Part_Three/index.html,2013,200
598,The Collected Letters of Robert Southey - Part Four (1810-1815),https://romantic-circles.org/editions/southey_letters/Part_Four/index.html,2013,200
599,The Collected Letters of Robert Southey - Part Five (1816-1818),https://romantic-circles.org/editions/southey_letters/Part_Five/index.html,2016,200
600,The Collected Letters of Robert Southey - Part Six (1819-1821),https://romantic-circles.org/editions/southey_letters/Part_Six/index.html,2017,200
601,Robert Southey and Milleniarianism: Documents Concerning the Prophetic Movements of the Romantic Era,https://romantic-circles.org/editions/southey_prophecy,2012,200
602,Robert Southey: Wat Tyler. A Dramatic Poem,https://romantic-circles.org/editions/wattyler/,2004,200
603,Die Ausgabenbücher der Kaufmannsfamilie Spängler von 1733 bis 1785,https://www.spaengler-haushaltsbuecher.at,2020,200
604,Spohr Briefe,http://www.spohr-briefe.de,2019,200
605,St. Gall Monatery Plan - Codex Sangallensis 1092: Content and Context,http://www.stgallplan.org/,2007,200
606,Die Protokolle des Bayerischen Staatsrats 1799 bis 1817,http://www.bayerischer-staatsrat.de,2008,200
607,Stammbuch der Walpurgisherren und Bierrufer,http://walpurgisherren.editionenportal.de/index.php?id=449,2019,200
608,The Elizabeth Cady Stanton and Susan B. Anthony Papers Project,https://web.archive.org/web/20090103204623/http://adh.sc.edu/sa/sa-table.html,2000,200
609,Die Stapfer-Enquête. Edition der Helvetischen Schulumfrage von 1799,http://www.stapferenquete.ch,2015,200
610,Josef Staribacher – Tagebücher,https://staribacher.acdh.oeaw.ac.at/,2019,200
611,Die DDR im Blick der Stasi. Die geheimen Berichte an die SED-Führung,http://www.ddr-im-blick.de/,2013,200
612,Stationers’ Register Online,https://stationersregister.online,2011,200
613,Digital Statius: The Achilleid,https://achilleid.unige.ch/welcome,2019,200
614,Statuti di Vicenza del 1264,http://vicenza.statutacommunis.org/,2006,200
615,Les Manuscrits de Stendhal,http://stendhal.demarre-shs.fr/,2009,200
616,Sterling Family Papers,http://www.lib.umd.edu/dcr/collections/sterling/index.jsp,2004,200
617,Tristram Shandy Web [Laurence Sterne],http://www.tristramshandyweb.it,2000,200
618,"Internet-Edition der Handschriften zu Adalbert Stifters ""Witiko""",https://www.uibk.ac.at/germanistik/stifter/witiko/,1999,403
619,The 1916 Diary of Dorothy Stopford Price,https://dh.tcd.ie/pricediary/,2014,500
620,"Die Helvetische Strassenenquête. Eine zentrale Quelle für Verkehrsgeschichte. Quellen, Transkriptionen, Kommentare, interaktive Karten",http://www.strassenenquete.ch,2019,200
621,Kritische Ausgabe der Werke von Richard Strauss - Online-Plattform,http://www.richard-strauss-ausgabe.de,2016,200
622,Stijn Streuvels: De teleurgang van den Waterhoek (The decline of the Waterhoek),http://web.archive.org/web/20111221024740/http://www.kantl.be:80/ctb/vanhoutte/projects/teleurgang.htm,2000,200
623,Streuvels en zijn uitgevers. De brieven.,http://edities.kantl.be/streuvels/,2014,200
624,"An electronic edition of John Strype's ""A SURVEY OF THE CITIES OF London and Westminster""",https://www.dhi.ac.uk/strype/,2007,200
625,Der Sturm - Digitale Quellenedition zur Geschichte der internationalen Avantgarde,https://sturm-edition.de/,2018,200
626,Suda On Line: Byzantine Lexicography,http://www.stoa.org/sol/,2000,200
627,Travels into Several Remote Nations of the World by Lemuel Gulliver - or: Gulliver's Travels by Jonathan Swift,http://web.archive.org/web/20100313025726/http://www.jaffebros.com/lee/gulliver/index.html,1998,200
628,Online.Swift,https://www.online-swift.de/index.html,2011,200
629,The Algernon Charles Swinburne Project,http://swinburnearchive.indiana.edu/swinburne/,1997,200
630,Digitale Edition und Kommentierung der Tagebücher des Fürsten Christian II. von Anhalt-Bernburg (1599-1656),http://www.tagebuch-christian-ii-anhalt.de/,2016,200
631,Bichitra: Online Tagore Variorum,http://bichitra.jdvu.ac.in/index.php,2011,200
632,The Correspondence of William Henry Fox Talbot,http://foxtalbot.dmu.ac.uk/,1999,200
633,Teatro de Autores Portugueses do Séc. XVI,http://www.cet-e-quinhentos.com,2010,200
634,Teatro de Autores Portugueses do Séc. XVII,http://www.cet-e-seiscentos.com,2010,200
635,A Facsimile Edition of Terence's Comedies,,2011,Invalid URL '': No schema supplied. Perhaps you meant http://?
636,Édition des testaments enregistrés au parlement de Paris,http://corpus.enc.sorbonne.fr/testaments/,2012,200
637,Testaments de guerre de Poilus parisiens (1914-1918): une édition critique,http://elec.enc.sorbonne.fr/testaments-de-poilus/,2017,200
638,Le Petit Thalamus de Montpellier,http://thalamus.huma-num.fr/index.html,2014,200
639,Thecae: Inventaires mauristes,https://www.unicaen.fr/services/puc/sources/maur/accueil,2018,200
640,Thesaurus musicarum italicarum (TMI),http://euromusicology.cs.uu.nl/,2000,200
641,Corpus Thomisticum,http://www.corpusthomisticum.org/,2000,200
642,Digital Thoreau,http://digitalthoreau.org,2014,200
643,"Arkivet, Thorvaldsens Museum",http://arkivet.thorvaldsensmuseum.dk,2017,200
644,Die Korrespondenz von Leo von Thun-Hohenstein,https://thun-korrespondenz.acdh.oeaw.ac.at,2015,200
645,Verses Transcribed for H. T. by Mary Tighe,https://romantic-circles.org/editions/tighe_verses,2015,200
646,Johannes Tinctoris: Complete Theoretical Works,http://earlymusictheory.org/Tinctoris/#,2013,200
647,A Comprehensive Edition of Tocharian Manuscripts (CEToM),https://www.univie.ac.at/tocharian/,2011,200
648,Ernst Toller - Digitale Briefedition,http://www.tolleredition.de/,2017,200
649,Zacharias Topelius Skrifter,http://www.topelius.fi,2010,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))"
650,Das Große Tucherbuch,https://www.nuernberg.de/internet/stadtarchiv/publikationen_einzeln_tucherbuch.html,2004,200
651,Mark Twain Project Online,http://marktwainproject.org,2007,200
652,The Mark Twain Papers & Project / Mark Twain Project Online,http://bancroft.berkeley.edu/MTP/,2002,200
653,Mark Twain in His Times,http://etext.lib.virginia.edu/railton/index2.html,1996,200
654,The Siege of Gibraltar & Miscellaneous Pieces: The Works of Catherine Upton,https://romantic-circles.org/editions/upton/index.html,2017,200
655,Urfehdebücher der Stadt Basel – digitale Edition,http://gams.uni-graz.at/context:ufbas,2017,200
656,Urkundenbuch der Steiermark. Band I: Von den Anfängen bis 1192,http://gams.uni-graz.at/collection:stub,2007,200
657,The annotated Utrecht Psalter,http://psalter.library.uu.nl,2015,200
658,Utrechtse Kronieken,http://www.utrechtsekronieken.nl,2015,200
659,Vincent van Gogh - The Letters,http://vangoghletters.org/vg/,2012,200
660,Van Nu en Straks. De Brieven,http://vnsbrieven.org,2011,200
661,Lope de Vega - La Dama Boba - EDICIÓN CRÍTICA Y ARCHIVO DIGITAL,http://damaboba.unibo.it/index.html,2015,200
662,Heinrich von Veldeke – Eneasroman,na,2003,Invalid URL 'na': No schema supplied. Perhaps you meant http://na?
663,The Digital Vercelli Book,http://vbd.humnet.unipi.it/,2013,200
664,A Facsimile Edition of the Vernon Manuscript,,2011,Invalid URL '': No schema supplied. Perhaps you meant http://?
665,Verse Miscellanies Online - Printed Poetry Collections of the Sixteenth and Seventeenth Centuries,http://versemiscellaniesonline.bodleian.ox.ac.uk/,2011,200
666,Andreas Vesalius: De Humani Corporis Fabrica,http://vesalius.northwestern.edu/,2003,200
667,Vespasiano da Bisticci: Lettere,http://vespasianodabisticciletters.unibo.it/index.html,2013,200
668,Bases Textuelles de l'Atelier Vincent de Beauvais,http://atilf.atilf.fr/bichard/,2004,200
669,Vindolanda Tablets Online,http://vindolanda.csad.ox.ac.uk/,2001,200
670,Volkssprachige Originalurkunden aus Metzer Archiven bis zum Jahr 1270 – Elektronische Edition,http://www.rmnet.uni-trier.de/cgi-bin/RMnetIndex.tcl?hea=qf&for=qpitzreg,2005,200
671,Walewein ende Keye,http://www.waleweinendekeye.huygens.knaw.nl/path/home,2011,200
672,Regensburger Wappen- und Porträtbücher,http://www-gewi.uni-graz.at/cocoon/rpb/,2012,200
673,The Papers of George Washington Digital Edition,https://rotunda.upress.virginia.edu/founders/GEWN.html,2007,200
674,The Harry Watkins Diary: Digital Edition,https://quod.lib.umich.edu/h/hwatkins/,2018,200
675,Carl-Maria-von-Weber-Gesamtausgabe (WeGA) [Digitale Präsentation],http://www.weber-gesamtausgabe.de/de/Index,2011,200
676,The Papers of Daniel Webster Digital Edition,https://rotunda.upress.virginia.edu/founders/WBST.html,2018,200
677,Die autobiographischen Aufzeichnungen Hermann Weinsbergs,http://www.weinsberg.uni-bonn.de/,2002,200
678,The Wellington Valley Project,https://downloads.newcastle.edu.au/library/cultural%20collections/the-wellington-valley-project/,2002,200
679,Welscher Gast Digital,http://digi.ub.uni-heidelberg.de/wgd/,2015,200
680,The Correspondence of James McNeill Whistler,http://www.whistler.arts.gla.ac.uk/,2003,200
681,The Walt Whitman Archive,https://whitmanarchive.org/index.html,1995,200
682,[Walt Whitman:] Crossing Brookly Ferry,http://msr-archives.rutgers.edu/CBF/,2008,200
683,Wiener Grundbücher - Digitale Edition,https://grundbuecher.acdh.oeaw.ac.at,2019,200
684,The Life of Saint Wilfrid by Edmer of Canterbury,http://www.evellum.com/index.php?page=shop.product_details&flypage=flypage.tpl&product_id=3&category_id=1&option=com_virtuemart&Itemid=224,1998,406
685,Wilhelmine von Bayreuth: Briefe über ihre Reise nach Frankreich und Italien 1754/1755,https://quellen.perspectivia.net/de/wilhelmine/start,2019,200
686,Edward Ellerker Williams: Sporting Sketches during a Short Stay in Hindustane (1814),https://romantic-circles.org/editions/sketches/index.html,2002,200
687,The Papers of Woodrow Wilson Digital Edition.,https://rotunda.upress.virginia.edu/founders/WILS.html,2017,200
688,Wittgenstein's Nachlass - The Bergen Electronic Edition (BEE),http://wab.aksis.uib.no/wab_BEE.page,1998,"HTTPConnectionPool(host='wab.aksis.uib.no', port=80): Max retries exceeded with url: /wab_BEE.page (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f3f7e64eb00>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution'))"
689,Wittgenstein Source,http://www.wittgensteinsource.org/,2015,200
690,Adam Wodeham - Editio Critica Electronica Ordinationis Oxoniensis,https://web.archive.org/web/20170610090514/http://adamwodeham.org/text/questions/wodehamordinatio,2013,200
691,The Woodman Diary,https://web.archive.org/web/20190919170943/http://dhprojects.maynoothuniversity.ie:80/woodman,2015,200
692,Woolf Online,http://www.woolfonline.com/,2013,200
693,From Goslar to Grasmere. William Wordsworth: Electronic Manuscripts,http://collections.wordsworth.org.uk/GtoG/home.asp?page=FrontPage,2008,200
694,William Wordsworth's Guide to the Lakes,https://romantic-circles.org/editions/guide_lakes,2015,200
695,"Georg Büchner: Woyzeck. Faksimile, Transkription, Emendation und Lesetext",,2002,Invalid URL '': No schema supplied. Perhaps you meant http://?
696,"Wschowska księga grodzka, 1495-1526",https://atlas.ihpan.edu.pl/gis/agad_wschowa_i2_pub/index.php,2018,200
697,Wulf & Eadwacer,https://web.archive.org/web/20061207211321/http://www.wmich.edu:80/medieval/research/rawl/wulf/,2001,200
698,The Electronic [Wulfstan's] Sermo Lupi ad Anglos,http://web.archive.org/web/20090214003757/http://english3.fsu.edu:80/~wulfstan/,1996,200
699,Wulfstan's Eschatological Homilies,http://webpages.ursinus.edu/jlionarons/wulfstan/Wulfstan.html,2000,"HTTPConnectionPool(host='webpages.ursinus.edu', port=80): Max retries exceeded with url: /jlionarons/wulfstan/Wulfstan.html (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f3f7e624d60>, 'Connection to webpages.ursinus.edu timed out. (connect timeout=10)'))"
700,The Yellow Nineties Online,http://www.1890s.ca,2012,200
701,Der Zürcher Sommer 1968: Die digitale Edition,http://www.cosmov.uzh.ch/edition68.html,2008,200
702,Huldrych Zwingli Briefe: Digitale Texte,http://www.irg.uzh.ch/static/zwingli-briefe/,2011,200
703,Древнерусские берестяные грамоты,http://gramoty.ru,2007,200
704,Das Kirchenbuch zu Gröben von 1578-1769,http://kirchenbuch-groeben.de/,2009,200
705,Digitale Edition der Missa in E-Dur von Simon Sechter,http://www.digital-musicology.at/de-at/edi_sechter.html,2015,200
706,Kaiser Leopold I.: Digitale Edition des Sepolcro „Il Sagrifizio d'Abramo“,http://www.digital-musicology.at/sagrifizio/de/index.html,2016,200
707,Elizabeth Montagu Correspondence Online,http://emco.swansea.ac.uk/edition/introduction/,2020,200
708,"*Hortus sanitatis* : Livre IV, *Les Poissons*",https://www.unicaen.fr/puc/sources/depiscibus/,2013,200
709,*La nature des dieux* Cicéron,https://www.unicaen.fr/puc/sources/ciceron/accueil,2019,200
710,Geoffroi Malaterra: *Histoire du Grand Comte Roger et de son frère Robert Guiscard*,https://www.unicaen.fr/puc/sources/malaterra/,2016,200
711,The Greek Bible in Byzantine Judaism,https://www.gbbj.org/,2010,200
712,Hermann Burger: Lokalbericht. Digitale Edition,http://www.lokalbericht.ch/,2016,200
713,hallerNet,http://www.hallernet.org/,2019,200
714,CTP2 - Canterbury Tales - Textual Communities Edition,https://textualcommunities.org/app/community/?id=5aaa517f8d92a41bfffafacc&route=view&document=5d4448772335e070c676ef97&page=5d444867d8f0ec0000133e93,2018,200
715,Controversia et Confessio: Quellenedition zur Bekenntnisbildung und Konfessionalisierung (1548-1580),www.controversia-et-confessio.de/cc-digital/digitale-edition.html,2012,Invalid URL 'www.controversia-et-confessio.de/cc-digital/digitale-edition.html': No schema supplied. Perhaps you meant http://www.controversia-et-confessio.de/cc-digital/digitale-edition.html?
716,Johann Wolfgang von Goethe - Briefwechsel mit Friedrich Wilhelm Riemer,https://ores.klassik-stiftung.de/ords/f?p=408,2020,200
717,"Das Kloster-Tagebuch des Einsiedler Paters Joseph Dietrich, 1670-1704 - Kommentierte Online-Edition",http://www.dietrich-edition.unibe.ch/,2018,200
718,Anton Webern Gesamtausgabe: Beispieleditionen ausgewählter Skizzen,https://edition.anton-webern.ch/home,2020,404
719,Formulae-Litterae-Chartae: Neuedition der frühmittelalterlichen Formulae,https://www.formulae.uni-hamburg.de/edition-und-datenbank.html,2020,200
720,Romualdus Beneventanus: Chronicon,http://www1.unipa.it/paolo.monella/romualdus/index.html,2020,200
721,"Samuel Hahnemann: Digitale kritische Edition, Krankenjournal DF5",https://www.hahnemann-edition.de,2020,200
722,Johann Georg Sulzers Korrespondenzen,http://www.sulzer-digital.de/briefe/index.html,2020,200
